dataset,model,labels,predictors,roc_auc,roc_auc_std,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds_total,predict_seconds_total,folds
Amazon_employee_access,curriculum,real,9,0.48889909794530767,0.04574546637859841,0.9418951636949131,0.9418951636949131,1.0,0.970078044166303,0.0,0.9437275407559023,0.22549109592593658,0.0552950829912059,94.18945707536312,94.18951636949132,16.24309440748766,,50
Amazon_employee_access,mixed,real,9,0.41495324816731666,0.053538815997139194,0.9418951636949131,0.9418951636949131,1.0,0.970078044166303,0.0,0.9274444144821646,0.2264963138916897,0.05542121327374108,94.18945707536312,94.18951636949132,16.251897622598335,,50
Amazon_employee_access,plain,real,9,0.4157195200890571,0.053669316652112865,0.9418951636949131,0.9418951636949131,1.0,0.970078044166303,0.0,0.9321807291685831,0.22577373367000395,0.055346087740754155,94.18945707536312,94.18951636949132,16.60034743428696,,50
Bank_Customer_Churn,curriculum,real,10,0.8309868170347205,0.021965087147355643,0.8031258870534915,0.8989761904761905,0.03429145152036719,0.06538484372746217,0.9996932515337423,0.6236950751905223,0.4132864312948674,0.13011111421463056,20.36132398548506,20.361261852227322,18.179757992736995,,50
Bank_Customer_Churn,mixed,real,10,0.82524675202995,0.022355781211184707,0.7967293219631464,0.12,0.0016781411359724613,0.003305582698195557,1.0,0.6142610686860376,0.42580783176216186,0.13471555593813941,20.36132398548506,20.361261852227322,18.193305077729747,,50
Bank_Customer_Churn,plain,real,10,0.8264186627751507,0.023091300840099378,0.8061534975251954,0.9774285714285714,0.0501118760757315,0.09445161304612006,0.9994478527607362,0.6247230886852414,0.414538606977441,0.12965454084960645,20.36132398548506,20.361261852227322,18.144801142509095,,50
E-CommereShippingData,curriculum,real,10,0.7412672371410274,0.02452602633542024,0.6791500983958495,0.8791671950103214,0.5366764804282369,0.6657978748032317,0.8899539978094195,0.8545264604126284,0.54021483824515,0.18748725186127613,59.66796812434397,59.66795873337706,18.216636282973923,,50
E-CommereShippingData,mixed,real,10,0.735103167425015,0.024749819891157484,0.636955334247719,0.6757339932502096,0.7617203077952494,0.7130894563949585,0.45242132165023735,0.8497850884467159,0.5605149079731007,0.1936867590896339,59.66796812434397,59.66795873337706,18.220484668854624,,50
E-CommereShippingData,plain,real,10,0.7461383446496225,0.023549113423223772,0.6049804997316477,0.6129901293422609,0.9208775510204081,0.7350106711885978,0.13764293537787511,0.8568039419756489,0.5492830264963465,0.1920303141414814,59.66796812434397,59.66795873337706,18.169522110722028,,50
Is-this-a-good-customer,curriculum,real,13,0.6643044116960221,0.04474036594848191,0.8862453656892484,0.0,0.0,0.0,1.0,0.21465684853193084,0.3507816189307353,0.10007442057476956,11.375505061933566,11.375463431075161,13.130000641802326,,50
Is-this-a-good-customer,mixed,real,13,0.38773379131672286,0.05139498701564883,0.8862453656892484,0.0,0.0,0.0,1.0,0.09632711582780595,0.3570349946875894,0.10140642774339302,11.375505061933566,11.375463431075161,13.131622996297665,,50
Is-this-a-good-customer,plain,real,13,0.367324065969389,0.05225551561216179,0.8862453656892484,0.0,0.0,0.0,1.0,0.09778561254459603,0.35631364893809775,0.10124059796154306,11.375505061933566,11.375463431075161,13.095606688410044,,50
bank-marketing,curriculum,real,13,0.7109376801446768,0.032228044132452484,0.882812332279802,0.0,0.0,0.0,1.0,0.30216302468660655,0.34710085972715105,0.10010825468532474,11.718751047610107,11.718766772019798,22.55582508444786,,50
bank-marketing,mixed,real,13,0.677667391071456,0.02987827988683536,0.882812332279802,0.0,0.0,0.0,1.0,0.2464264920804491,0.35288073553774313,0.1014871653948024,11.718751047610107,11.718766772019798,22.55986787704751,,50
bank-marketing,plain,real,13,0.7063165419364055,0.031908134894127145,0.882812332279802,0.0,0.0,0.0,1.0,0.33129021857783675,0.3475690165630305,0.10010745187729597,11.718751047610107,11.718766772019798,22.49490257736761,,50
blood-transfusion-service-center,curriculum,real,4,0.7431743943191311,0.04260337868267403,0.7620402684563758,0.05333333333333333,0.002238095238095238,0.004243474243474243,0.999298245614035,0.5207725447168724,0.4905159396399346,0.15973672561771457,23.796740386709175,23.795973154362414,1.1901674075052142,,50
blood-transfusion-service-center,mixed,real,4,0.7404083124477862,0.042580472373728674,0.7621744966442954,0.13,0.003936507936507936,0.0076276276276276275,0.9989473684210526,0.5180338922238992,0.5008094829734496,0.16377696277338116,23.796740386709175,23.795973154362414,1.1854490486439317,,50
blood-transfusion-service-center,plain,real,4,0.7487827206906154,0.041212640928645045,0.7628429530201342,0.22,0.007301587301587301,0.014088825667773036,0.9987719298245614,0.5277848571864819,0.4978896902167144,0.1626382447278667,23.796740386709175,23.795973154362414,1.1724376361817122,,50
churn,curriculum,real,19,0.8511181805901633,0.025998840228619948,0.8583982348380941,0.0,0.0,0.0,1.0,0.5513686616532876,0.346543642535814,0.10489131068827237,14.160157515862213,14.160176516190589,32.808107244898565,,50
